title;sentence;sentence_id;health;healthSubclass;water;waterSubclass;agriculture;agricultureSubclass;culturesAffected;economy;economySubclass;social;socialSubclass;infrastructure;infraSubclass
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;There are several explanations for these observations. First, the damage of the social infrastructure including health facilities such as cardiac catheterization laboratories means that patients needing such interventions may have delayed diagnosis and treatment.;IMAEAS_45;1;RESP;;;;;;;;;;1;STRAIN, PUBL
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;In the Great East Japan earthquake, it was found that in less-damaged inland areas that were not mainly affected by the major tsunami, the increase in the incidence of myocardial infarction was lower than that in the tsunami affected regions.9;IMAEAS_46;1;RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Furthermore, Itoh et al. showed that malfunction of catheterization laboratories and the subsequent reduction of PCI in the tsunami-stricken area resulted in an increase in in-hospital mortality incidence.6;IMAEAS_47;1;RESP, MORT;;;;;;;;;;1;STRAIN
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Furthermore, an analysis after the Hanshin-Awaji earthquake showed a significant correlation between the extent of damage due to the earthquake and an increase in morbidity rates for acute heart failure.;IMAEAS_49;1;RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;One study showed that mental stress induced during an earthquake may result in a dominant sympathetic activity, and this in turn can lead to myocardial ischemia in patients with prior coronary artery disease.36;IMAEAS_52;1;RESP, MIND;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Acute decompensation of heart failure after an earthquake was associated with higher blood pressure, interruption of drugs, inflammation, malnutrition, and fluid retention.37;IMAEAS_53;1;RESP, NUTR, OTHER;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Moreover, Nakagawa I et al showed an increase in long-term mortality caused by an earthquake20 This relation can be due to the chronic stress that results from a natural disaster caused by economic problems, homelessness, unemployment etc.;IMAEAS_57;1;RESP, MORT, MIND;;;;;;1;ECOG;1;DISP, LVLH;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;This fact is supported by a study conducted by Armenian et al. found that the long-term increased rates of heart disease and chronic disease morbidity following an earthquake were related to the intensity of exposure to disaster-related damage and losses.25;IMAEAS_58;1;RESP, OTHER;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;It was found that the earthquake-induced increase in blood pressure correlated significantly with the “white coat” effect, body mass index, and age, whereas the blood pressure increase was prolonged in patients with microalbuminuria.41;IMAEAS_60;1;RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;In particular, the proportion of overweight/obese people and those with hypertension, diabetes mellitus, dyslipidemia, liver dysfunction, atrial fibrillation, and polycythemia was found to be increased after the Great East Japan earthquake,42 whereas diabetes mellitus and hypertension cases were increased within 6 months following the earthquake in Armenia.25;IMAEAS_61;1;RESP, NUTR, OTHER;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Interestingly, the average home systolic blood pressure, but not diastolic blood pressure, was significantly elevated immediately after the Great east Japan earthquake compared to that immediately before the earthquake, and this elevation remained significant two weeks after, disappearing four weeks after, the earthquake.43;IMAEAS_62;1;RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Additionally, home heart rate was also significantly elevated immediately after earthquake, and it returned to its previous level two weeks later.43;IMAEAS_63;1;RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Moreover, earthquake experience in the early years of life has been found to have long-term effects on adult resting heart rate, total cholesterol, and fasting plasma glucose, especially among men.44;IMAEAS_64;1;RESP, OTHER;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Furthermore, a higher prevalence of psychological distress in older women than in older men was observed, and significant risk factors for psychological distress were low education level, chronic diseases, loss of family members, and displacement from original residence.45;IMAEAS_65;1;MIND, OTHER;;;;;;;;1;DISP;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;The stress of anxiety has also been found to act as a trigger of ventricular arrhythmias, which are found to be increased significantly after an earthquake.46;IMAEAS_67;1;RESP, MIND;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;Moreover, data after Wenchuan earthquake showed that the earthquake and its aftershocks could trigger the occurrence of hemodynamically unstable ventricular tachyarrhythmia events in hospitalized patients with heart disease.47;IMAEAS_68;1;RESP;;;;;;;;;;;
Impact of major earthquakes on the incidence of acute coronary syndromes – A systematic review of the literature;In particular, they suggest that a sharp increase followed by a decrease in the number of deaths means a precipitated death among people who were at risk of dying during the week of the earthquake, but they died a few days earlier because of the disaster.29;IMAEAS_74;1;MORT;;;;;;;;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Hurricane Irma passed close to Puerto Rico (PR) on September 6, 2017 with Category 5 winds, resulting in significant flooding, widespread power outages, and water supply disruptions.20, 21;PHIMPR_19;;;1;AVLB;;;;;;;;1;ENER, SANIT
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Just 14 days later, Hurricane Maria (Category 4) made landfall in Puerto Rico, resulting in severe flooding, mudslides, and extensive damage to property, and infrastructure including extensive disruption of water service and damage to the power grid with disruption of power across the entire region.22;PHIMPR_20;;;1;AVLB;;;;;;;;1;ENER, RESI, SANIT
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;An official death toll of 64 attributed to Hurricane Maria by December 2017 was initially reported by the PR government.;PHIMPR_21;1;MORT;;;;;;;;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;In 2018, a Harvard University study23 estimated 4,645 deaths, and a George Washington University study24 estimated 2,975 deaths, later accepted as the official death toll.;PHIMPR_22;1;MORT;;;;;;;;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;One recent study in the US Virgin Islands29 found that older adults and people with chronic disease faced the most adverse health impacts of Hurricanes Irma and Maria.;PHIMPR_24;1;OTHER;;;;;;;;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Limited access to water along with prolonged loss of power due to Hurricane Maria were suggested to have been major contributors to high morbidity and excess mortality in Puerto Rico.23, 24;PHIMPR_25;1;MORT;1;AVLB;;;;;;;;1;ENER, SANIT
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Around one-third of participants reported that the hurricanes impacted their health (43% of COSSMA and 32% of SOALS participants), and 36% reported that the hurricanes impacted the health of their family.;PHIMPR_96;1;OTHER;;;;;;;;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;The majority of participants (71%) reported that hurricanes impacted their finances (75% SOALS and 59% COSSMA).;PHIMPR_97;;;;;;;;1;ECOG;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;"All participants lost power (average 19.2 weeks, SD=12.2); 96% reported being without power for one month or longer and 54% for longer than 3 months.";PHIMPR_98;;;;;;;;;;;;1;ENER
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Among COSSMA participants, 77% reported losing power for over 3 months (average 27.8 weeks, SD=13.5), compared to 46% of SOALS participants (average 16.2 weeks, SD=10.2).;PHIMPR_99;;;;;;;;;;;;1;ENER
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Overall, 73% lost water service (average 8.5 weeks, SD=9.6, median 4.3 weeks) (data not in table).;PHIMPR_100;;;1;AVLB;;;;;;;;1;SANIT
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;A total of 53% lost access to their primary source of drinking water and 15% of these participants had drinking water disrupted for over three months.;PHIMPR_101;;;1;AVLB;;;;;;;;1;SANIT
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Of the 398 participants who responded to the question on diet changes due to lack of refrigeration or cooking means after the hurricanes, 78.4% (312 of the 398 participants) had to make changes for one month or longer.;PHIMPR_110;1;NUTR;;;;;;;;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Over a quarter (28%) of participants reported long-term changes to their diets due to challenges in access to shops and/or financial impact from the hurricanes.;PHIMPR_111;1;NUTR;;;;;;1;ECOG;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Among people with high preparedness, 26% reported an impact on their own health, compared to 40% of those with low preparedness.;PHIMPR_129;1;OTHER;;;;;;;;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Among people with high preparedness, 32% reported an impact on their family’s health, whereas among people with low preparedness, 38% reported an impact on their family’s health.;PHIMPR_130;1;OTHER;;;;;;;;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;"Participants who reported low to moderate levels of preparedness had 1.96 times the odds (95% CI: 1.31, 2.95) of experiencing an adverse health outcome compared to participants who reported a high level of preparedness prior to Hurricane Maria; the association was similar in SOALS (OR=1.95; 95% CI: 1.21, 3.14) and COSSMA (OR=2.05; 95% CI: 0.92, 4.58) (data not shown in tables).";PHIMPR_133;1;OTHER;;;;;;;;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Multivariable analyses pooling both cohorts showed that participants who reported drinking water disruption for over 3 months had 2.76 (95% CI: 1.39, 5.47) times odds of experiencing a health impact compared to participants who reported shorter duration or no disruption.;PHIMPR_140;1;OTHER;1;AVLB;;;;;;;;1;SANIT
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;"Participants who had lost both water and power for longer than three months (compared to other participants) had higher health impact (pooled OR=2.82; 95% CI: 1.36, 5.87).";PHIMPR_144;1;OTHER;1;AVLB;;;;;;;;1;ENER, SANIT
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;"Participants who made diet changes due to lack of refrigeration or cooking means for ≥ 3 months had twice the odds of reporting a health impact than participants with none or less than three months diet changes (OR=1.96; 95% CI: 1.24, 3.07); the odds ratio was 1.51 (95% CI: 0.96, 2.37) for family’s health.";PHIMPR_145;1;OTHER;;;;;;;;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;"Participants who had longer-term diet changes (up to the time of study interviews) due to lack of access to stores or financial impact had 2.83 (95% CI: 1.85, 4.32) times the odds of experiencing a health impact, compared to those who did not; the association was also significant (OR= 2.12; 95% CI: 1.39, 3.23) for family’s health.";PHIMPR_146;1;OTHER, NUTR;;;;;;1;ECOG;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;However, our results do suggest an indirect impact of power loss as it affected many people’s diet due to lack of access to refrigeration and cooking means, and the diet changes were detrimentally associated with health.;PHIMPR_164;1;NUTR, OTHER;;;;;;;;;;1;ENER
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Although food stored in preparation for the hurricane lasted an average of 5.2 weeks, and 45% of participants stored food to last a month or longer, 78% of participants reported making diet changes for one month or more due to lack of means to refrigerate or cook.;PHIMPR_165;1;NUTR;;;;;;;;;;1;ENER
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Over one-fourth of the participants made longer-term diet changes due to food accessibility or financial impact.;PHIMPR_166;1;NUTR;;;;;;1;ECOG;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Given the rural setting of COSSMA clinics and most of their patients’ homes in the southeast region of Puerto Rico where the eye of Hurricane Maria made landfall, COSSMA participants may have likely had a much bigger impact of the hurricane and been more dependent on the mobilization of community organizations and government.;PHIMPR_173;;;;;;;;;;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;However, most participants reported that post-disaster financial impacts would likely impact their ability to prepare adequately in the future.;PHIMPR_180;;;;;;;;1;ECOG;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Hurricane Maria and its aftermath caused an estimated $68 billion in damages.21, 22;PHIMPR_182;;;;;;;;1;ECOG;;;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;The population has plummeted over the years due to high unemployment rates and rising poverty levels as well as the lasting impact of Hurricane Maria.;PHIMPR_184;;;;;;;;;;1;LVLH;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Two years after, many homes had still not been repaired from damages caused by the hurricanes.;PHIMPR_185;;;;;;;;;;;;1;RESID
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;"Socioeconomic status has also been demonstrated to have an impact in mortality; six month after Hurricane Maria, people with low socioeconomic status remained at higher risk for excess of mortality42.";PHIMPR_191;1;MORT;;;;;;;;1;INEQ;;
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;The hurricanes led to widespread water and power loss and diet changes, which were associated with detrimental health impacts, whereas better hurricane preparedness was associated with lower health impact.;PHIMPR_198;1;NUTR, OTHER;1;AVLB;;;;;;;;1;ENER, SANIT
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;FEMA lost visibility of about 38% of its commodity shipments to Puerto Rico, worth an estimated $257 million.;PHIMPR_204;;;;;;;;1;INDS, ECOG;;;1;TRSP
Preparedness, Hurricanes Irma and Maria, and Impact on Health in Puerto Rico;Commodities successfully delivered to Puerto Rico took an average of 69 days to reach their final destinations.”44;PHIMPR_205;;;;;;;;1;INDS;;;1;TRSP
Heatwave Damage Prediction Using Random Forest Model in Korea;In particular, record-breaking heatwaves occurred in 2016 and 2018, causing many casualties [16].;HDPRFK_37;1;MORT;;;;;;;;;;;
Social sensing of flood impacts in India: A case study of Kerala 2018;These floods caused an estimated $4.4 billion in economic damage, including the destruction of 17,000 homes with an additional 217,000 damaged [5], and resulted in the deaths of over 430 people [5].;SSFIKI_6;1;MORT;;;;;;1;ECOG;1;DISP;1;RESID
Social sensing of flood impacts in India: A case study of Kerala 2018;As the Indian population urbanises, with 52% of the population expected to live in cities by 2050 [11], urban flood planning and resilience will become more important [12], although impacts in 2018 were widespread in both rural and urban areas.;SSFIKI_9;;;;;;;;;;;;;
Social sensing of flood impacts in India: A case study of Kerala 2018;A disastrous flood event such as Kerala 2018 affected many people in many ways, with each individual having their own story.;SSFIKI_53;;;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;"An interim report from this Commission identified that as a direct result of the 2019/2020 fires, 33 people died; however, many more may have succumbed to the effects of associated wildfire smoke.";IPM2ED_5;1;MORT;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;Additionally, over 3 billion animals died, with the fire destruction of between 24 and 40 million hectares of bushland [3].;IPM2ED_6;;;;;1;ANIM;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;Much of the attention regarding the 2019/2020 wildfire season was focused on the south-eastern region of Australia from December 2019 to January 2020, with these fires resulting in the loss of over 3,000 homes and numerous communities being evacuated [3].;IPM2ED_7;;;;;;;;;;1;DISP;1;RESID
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;During the wildfire season of 2019/2020, the Copernicus Atmosphere Monitoring Service estimated over 400 mega-tonnes of carbon dioxide were emitted [4].;IPM2ED_8;;;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;For extended periods during the 2019/2020 wildfires, Canberra was blanketed in smoke, reportedly having the worst air quality in the world [6].;IPM2ED_11;;;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;Such ill health effects during the 2019/2020 Australian wildfires included estimates of 417 (95% CI, 153–680) excess deaths, 1,124 (95% CI, 211–2,047) hospitalizations for cardiovascular problems and 2,027 (95% CI, 0–4,252) for respiratory problems [10].;IPM2ED_19;1;RESP, RESP, MORT;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;One Australian study of the 2019/2020 wildfires estimated presentations to EDs with asthma, predicting 1,305 (95% CI, 705–1,908) presentations as a result of the wildfire smoke [17,18].;IPM2ED_24;1;RESP;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;"The type of presentation were statistically significantly different in 2019/2020 when compared to 2018/2019, with an increase in respiratory related presentations (p<0.0001; χ2 = 34.31; OR: 1.45 [95% CI: 1.27-1.65]) and a decrease in injury related presentations (p=0.026; χ2 = 4.94; OR: 0.93 [95% CI: 0.87 – 0.99]).";IPM2ED_66;1;RESP;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;For the period 2019/2020 there was a strong positive correlation between the same-day daily mean air quality readings and the number of patients presenting with respiratory illness to the ED.;IPM2ED_69;1;RESP;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;This suggests that air quality for either PM2.5 or PM10 had the strongest correlation to a same-day increase in respiratory related presentations to the ED.;IPM2ED_71;1;RESP;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;However, while the proportion did not change, there was an increase in the raw number of patients being admitted to hospital, with an additional 78 patients admitted in the 2019/2020 study period with respiratory related illnesses.;IPM2ED_82;1;RESP;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;This may be of clinical importance regarding in-patient bed capacity, with an additional mean daily respiratory in-patient bed increase of 1.25 per day.;IPM2ED_83;1;RESP;;;;;;;;;;1;STRAIN
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;With wildfires occurring more frequently [19], poignantly it is suggested that wildfire smoke is more harmful to human health when compared to ‘normal’ air pollutants [13].;IPM2ED_89;;;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;This poor air quality during the 2019/2020 wildfire period resulted in an increase in same-day respiratory-related patient presentations to the ED, statistically significant when compared to the previous year, with a dampening lag effect over the subsequent days.;IPM2ED_91;1;RESP;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;These long-term effects may impact multiple cohorts, such as those with chronic conditions and those with extended exposure such as wildfire fire-fighters.;IPM2ED_94;1;OTHER;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;Given the strong correlation between poor air quality from wildfire smoke and an increase in respiratory related patient presentations to EDs, robust public warning systems should be implemented in an attempt to limit an individual's exposure to wildfire smoke.;IPM2ED_96;1;RESP;;;;;;;;;;;
Impact of fine particulate matter (PM2.5) smoke during the 2019 / 2020 Australian bushfire disaster on emergency department patient presentations;Subsequently, as demonstrated in this study, wildfire smoke resulted in an increase in respiratory related patient presentations to the ED.;IPM2ED_123;1;RESP;;;;;;;;;;;
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;On Nov 21, 2016, the world's largest and most catastrophic epidemic of thunderstorm asthma occurred in Melbourne, Australia, precipitating several thousand acute respiratory presentations to emergency departments and associated with ten deaths.;METAEH_2;1;RESP, MORT;;;;;;;;;;;
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;From 1800 AEDT on Nov 21, 2016, Victorian ambulance services had a substantial increase in demand with 814 ambulance cases generated in the first 6 hours (figure 2), 643 being categorised as code 1 (the most urgent).;METAEH_42;;;;;;;;;;;;1;STRAIN
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;This was associated with substantially increased out-of-hospital cardiac arrests and prehospital deaths as previously published.11;METAEH_43;1;RESP, MORT;;;;;;;;;;;
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;The sheer magnitude of the patient demand on emergency departments resulted in many incomplete medical records in favour of providing urgent clinical care.;METAEH_44;;;;;;;;;;;;1;STRAIN
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;Both rose rapidly from 1800 AEDT, peaked near midnight and then declined through the morning hours, leaving a high residual case load of respiratory presentations the following day (figure 2).;METAEH_46;1;RESP;;;;;;;;;;1;STRAIN
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;During the 30 h after 1800 AEDT an estimated 3365 excess respiratory-related cases presented to Melbourne and Geelong public hospital emergency departments (a 672% increase above the 3-year average of 501).;METAEH_48;1;RESP;;;;;;;;;;1;STRAIN
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;Over this period there were an estimated 476 excess asthma-related admissions to public hospitals in Melbourne and Geelong, a 992% increase, of which 59% were male.;METAEH_51;1;RESP;;;;;;;;;;1;STRAIN
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;"Those aged 20–59 years comprised 57% of the asthma admissions compared with 21% average for the same 30 h period, in the previous 3 years (p<0·0001; figure 2).";METAEH_52;1;RESP;;;;;;;;;;;
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;From Nov 21 until the end of November, there were 1121 admissions for asthma in Melbourne and Geelong compared with a 3-year average of 351.;METAEH_57;1;RESP;;;;;;;;;;1;STRAIN
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;This was an excess of 770 cases (of which 62% occurred in the 30 h from 1800 AEDT on Nov 21).;METAEH_58;;;;;;;;;;;;1;STRAIN
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;Of ten deaths (mean age 38·5 years [SD 13·1], range 18–57, seven of whom were male), six were Asian or Indian (RR 4·54, 95% CI 1·28–16·09, p=0·01).;METAEH_64;1;MORT;;;;;;;;;;;
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;35 patients were admitted to a Victorian ICU with asthma or bronchospasm on Nov 21 and 22 2016, of which 28 (80%) were admitted over an 8h period from 2000–0400 AEDT (figure 4).;METAEH_65;1;RESP;;;;;;;;;;;
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;The age distribution of asthma admissions from the 2016 epidemic thunderstorm asthma event saw a departure from a typical U-shaped pattern because of the large increase in patients aged 20–59 years, followed by those younger than 20 years with a preponderance of males.;METAEH_88;1;RESP;;;;;;;;;;;
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;"The health data presented was limited to the tertiary-care setting; however, increased health-service demand was reported across primary care involving the community telephone health advice service, community pharmacies, and general practice.15";METAEH_91;;;;;;;;;;;;1;STRAIN
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;The patient impact of the Melbourne epidemic thunderstorm asthma event of November, 2016, was by far the largest and most severe to have been documented.15;METAEH_92;1;RESP;;;;;;;;;;;
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;The Melbourne 2016 event also far exceeds many other well documented acute allergic asthma epidemics, such as those caused by inhalation of allergenic soybean dust released during the unloading of soybeans into a silo in Barcelona, Spain, in the 1980s.27, 28;METAEH_95;1;RESP;;;;;;;;;;;
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;Most patients presenting to emergency departments did not have diagnosed or current asthma, but asthma was present in all ICU admissions and deaths.;METAEH_96;1;RESP;;;;;;;;;;;
The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors;This suggests that although most patients affected by the epidemic thunderstorm asthma event were asthma-diagnosis naive or were symptom-free for more than a year, the presence of current doctor-diagnosed asthma is a risk factor for severe bronchospasm requiring ICU care and increased mortality.;METAEH_97;1;RESP, MORT;;;;;;;;;;;
